Name,IF,IFDenseRank,IFMinRank
aurelia,1473.618147448015,1.0,1.0
citi,1317.3005671077503,2.0,2.0
lost,1317.3005671077503,2.0,2.0
fill,934.4517958412098,3.0,4.0
dusti,934.4517958412098,3.0,4.0
tome,934.4517958412098,3.0,4.0
young,934.4517958412098,3.0,4.0
discov,934.4517958412098,3.0,4.0
brave,934.4517958412098,3.0,4.0
treasur,934.4517958412098,3.0,4.0
spoke,934.4517958412098,3.0,4.0
alina,934.4517958412098,3.0,4.0
wonder,934.4517958412098,3.0,4.0
curiou,934.4517958412098,3.0,4.0
courag,908.2336956521739,4.0,15.0
test,908.2336956521739,4.0,15.0
friendship,908.2336956521739,4.0,15.0
journey,908.2336956521739,4.0,15.0
face,908.2336956521739,4.0,15.0
challeng,908.2336956521739,4.0,15.0
mountain,866.3043478260869,5.0,21.0
adventur,866.3043478260869,5.0,21.0
gather,866.3043478260869,5.0,21.0
embark,866.3043478260869,5.0,21.0
dens,866.3043478260869,5.0,21.0
intrigu,866.3043478260869,5.0,21.0
forest,866.3043478260869,5.0,21.0
treacher,866.3043478260869,5.0,21.0
friend,866.3043478260869,5.0,21.0
ruin,707.0304347826087,6.0,30.0
final,707.0304347826087,6.0,30.0
trial,707.0304347826087,6.0,30.0
reveal,707.0304347826087,6.0,30.0
mural,707.0304347826087,6.0,30.0
vibrant,707.0304347826087,6.0,30.0
unearth,707.0304347826087,6.0,30.0
artifact,707.0304347826087,6.0,30.0
ancient,701.8280632411067,7.0,38.0
town,701.8280632411067,7.0,38.0
librari,701.8280632411067,7.0,38.0
whisper,701.8280632411067,7.0,38.0
hidden,701.8280632411067,7.0,38.0
eldoria,701.8280632411067,7.0,38.0
secret,701.8280632411067,7.0,38.0
knowledg,701.8280632411067,7.0,38.0
breath,566.358695652174,8.0,46.0
stori,566.358695652174,8.0,46.0
remind,566.358695652174,8.0,46.0
discoveri,566.358695652174,8.0,46.0
histori,566.358695652174,8.0,46.0
hold,566.358695652174,8.0,46.0
told,566.358695652174,8.0,46.0
life,566.358695652174,8.0,46.0
wait,566.358695652174,8.0,46.0
