Name,IF,IFDenseRank,IFMinRank
extract,1552.8090277777776,1.0,1.0
method,1552.8090277777776,1.0,1.0
keyword,1552.8090277777776,1.0,1.0
graph,1481.1805555555557,2.0,4.0
construct,1481.1805555555557,2.0,4.0
parameterless,1344.6805555555557,3.0,6.0
word,1344.6805555555557,3.0,6.0
propos,1344.6805555555557,3.0,6.0
present,1334.90625,4.0,9.0
graphbas,1289.1818181818182,5.0,10.0
document,1219.4062499999998,6.0,11.0
base,1209.9305555555557,7.0,12.0
connect,1209.9305555555557,7.0,12.0
score,1209.9305555555557,7.0,12.0
text,1064.9041666666667,8.0,15.0
semant,1047.4930555555554,9.0,16.0
combin,1047.4930555555554,9.0,16.0
scake,1047.4930555555554,9.0,16.0
lead,1047.4930555555554,9.0,16.0
languag,1036.75,10.0,20.0
tool,1036.75,10.0,20.0
nlp,1036.75,10.0,20.0
relat,1006.0166666666668,11.0,23.0
contextu,1006.0166666666668,11.0,23.0
concept,993.1249999999999,12.0,25.0
lake,960.3749999999999,13.0,26.0
avail,960.3749999999999,13.0,26.0
languageagnost,960.3749999999999,13.0,26.0
limit,960.3749999999999,13.0,26.0
algorithm,922.6022727272727,14.0,30.0
demonstr,922.6022727272727,14.0,30.0
superior,922.6022727272727,14.0,30.0
sateoftheart,922.6022727272727,14.0,30.0
individu,922.6022727272727,14.0,30.0
statist,920.8333333333333,15.0,35.0
elimin,920.8333333333333,15.0,35.0
filter,920.8333333333333,15.0,35.0
paper,873.25,16.0,38.0
analysi,873.25,16.0,38.0
issu,873.25,16.0,38.0
challeng,873.25,16.0,38.0
comprehens,873.25,16.0,38.0
critic,873.25,16.0,38.0
discuss,873.25,16.0,38.0
sophist,719.6944444444443,17.0,45.0
compet,719.6944444444443,17.0,45.0
lack,719.6944444444443,17.0,45.0
show,719.6944444444443,17.0,45.0
support,719.6944444444443,17.0,45.0
solut,719.6944444444443,17.0,45.0
task,702.1777777777778,18.0,51.0
import,702.1777777777778,18.0,51.0
