Name,IF,IFDenseRank,IFMinRank
extract,89099.28666666667,1.0,1.0
keyword,87553.03160493828,2.0,2.0
text,84966.74796747968,3.0,3.0
method,83451.12000000001,4.0,4.0
graph,81416.08563685638,5.0,5.0
document,79949.39837398374,6.0,6.0
algorithm,76363.77,7.0,7.0
word,75560.34716049384,8.0,8.0
candid,71909.1056910569,9.0,9.0
accept,70765.98320987655,10.0,10.0
manuscript,70654.3288888889,11.0,11.0
base,68969.37666666668,12.0,12.0
score,68067.125,13.0,13.0
dataset,66148.34200542007,14.0,14.0
construct,64424.512195121955,15.0,15.0
set,63950.365853658535,16.0,16.0
number,63764.86504065042,17.0,17.0
perform,63510.58222222223,18.0,18.0
connect,61521.68000000001,19.0,19.0
node,61066.548888888894,20.0,20.0
propos,60235.63000000001,21.0,21.0
tabl,58403.27804878049,22.0,22.0
approach,57700.306172839504,23.0,23.0
term,57535.78970189702,24.0,24.0
automat,57000.38722222222,25.0,25.0
result,56438.46617283951,26.0,26.0
evalu,56174.22764227641,27.0,27.0
semant,55569.600000000006,28.0,28.0
languag,53998.886666666665,29.0,29.0
al,52624.35327635327,30.0,30.0
figur,52599.176666666666,31.0,31.0
comput,52371.444444444445,32.0,32.0
cag,52129.89611111111,33.0,33.0
compar,51805.541666666664,34.0,34.0
show,51535.24222222223,35.0,35.0
weight,50823.577235772354,36.0,36.0
import,50571.560000000005,37.0,37.0
hulth,50372.4135501355,38.0,38.0
graphbas,50038.157309941525,39.0,39.0
index,49573.11666666667,40.0,40.0
scake,49379.14666666667,41.0,41.0
rank,49129.37499999999,42.0,42.0
observ,49078.78888888889,43.0,43.0
statist,48036.1945945946,44.0,44.0
cooccurr,48009.555555555555,45.0,45.0
identifi,47967.50997150997,46.0,46.0
present,47536.53333333333,47.0,47.0
properti,46970.43950617284,48.0,48.0
textrank,46142.99358024692,49.0,49.0
level,45624.44666666667,50.0,50.0
edg,45561.19777777778,51.0,51.0
relev,45454.17321937322,52.0,52.0
posit,44940.554444444446,53.0,53.0
positionrank,44367.88592592593,54.0,54.0
section,44339.18444444445,55.0,55.0
list,44291.18590785908,56.0,56.0
nlm,44276.87804878049,57.0,57.0
averag,44113.08888888889,58.0,58.0
paramet,43906.91965811965,59.0,59.0
degext,43877.72444444445,60.0,60.0
hierarchi,43559.99999999999,61.0,61.0
window,43375.280000000006,62.0,62.0
kcore,43226.74271604938,63.0,63.0
goldstandard,43065.16938271605,64.0,64.0
krapivin,42921.48943089431,65.0,65.0
higher,42750.64615384615,66.0,66.0
note,42568.57452574526,67.0,67.0
lake,42506.44,68.0,68.0
empir,42478.57833333334,69.0,69.0
experiment,42448.14765432099,70.0,70.0
appli,42243.211111111115,71.0,71.0
semev,42187.44878048781,72.0,72.0
defin,42097.928205128206,73.0,73.0
process,41962.22222222222,74.0,74.0
pp,41930.48019323672,75.0,75.0
studi,41881.59746031746,76.0,76.0
inform,41877.32,77.0,77.0
tool,41186.48000000001,78.0,78.0
concept,41156.30510510511,79.0,79.0
keyphras,41072.56344086021,80.0,80.0
decomposit,40855.777777777774,81.0,81.0
relationship,40726.38888888889,82.0,82.0
top,40667.96000000001,83.0,83.0
proceed,40496.59090909091,84.0,84.0
measur,40485.777777777774,85.0,85.0
size,40444.12,86.0,86.0
search,39587.995833333334,87.0,87.0
linguist,39528.427301587304,88.0,88.0
exist,39493.82888888889,89.0,89.0
call,39423.06666666667,90.0,90.0
length,39169.363685636854,91.0,91.0
core,39049.83817663817,92.0,92.0
effect,39012.791666666664,93.0,93.0
nlp,38993.35777777778,94.0,94.0
stateoftheart,38964.97000000001,95.0,95.0
improv,38467.59619047619,96.0,96.0
sophist,38067.04,97.0,97.0
experi,37956.0,98.0,98.0
time,37948.27008547009,99.0,99.0
relat,37923.61052631579,100.0,100.0
task,37822.402777777774,101.0,101.0
support,37781.19055555556,102.0,102.0
preprocess,37712.281111111115,103.0,103.0
noun,37543.510027100274,104.0,104.0
adject,37543.510027100274,104.0,104.0
filter,37316.52888888889,105.0,106.0
truss,37190.51724137931,106.0,107.0
high,37160.27777777778,107.0,108.0
user,37120.04571428571,108.0,109.0
design,36913.291291291294,109.0,110.0
cluster,36899.65811965812,110.0,111.0
due,36684.62777777778,111.0,112.0
retent,36672.455555555556,112.0,113.0
contextawar,36301.08943089431,113.0,114.0
analysi,35894.419444444444,114.0,115.0
structur,35888.36571428572,115.0,116.0
advanc,35860.12777777778,116.0,117.0
fscore,35791.49444444444,117.0,118.0
web,35709.646376811594,118.0,119.0
function,35685.72252252253,119.0,120.0
contextu,35461.20467836257,120.0,121.0
applic,35443.67509578544,121.0,122.0
natur,35435.42762762763,122.0,123.0
comparison,35363.64102564102,123.0,124.0
dg,35257.56666666667,124.0,125.0
effici,35025.624691358025,125.0,126.0
parameterless,34972.88333333333,126.0,127.0
frequenc,34955.86388888889,127.0,128.0
valu,34848.14333333333,128.0,129.0
variat,34826.78611111111,129.0,130.0
degre,34774.833333333336,130.0,131.0
lead,34733.73888888889,131.0,132.0
remov,34669.469047619044,132.0,133.0
assign,34662.26666666666,133.0,134.0
step,34654.46315789474,134.0,135.0
distribut,34144.11111111111,135.0,136.0
gow,34139.76944444445,136.0,137.0
tg,34139.76944444445,136.0,137.0
respect,34120.65641025641,137.0,139.0
sentenc,34114.165853658546,138.0,140.0
written,34106.116129032256,139.0,141.0
order,33970.260317460314,140.0,142.0
exploit,33907.95809523809,141.0,143.0
creat,33870.439024390245,142.0,144.0
author,33720.84444444445,143.0,145.0
extractor,33627.725490196084,144.0,146.0
trussbas,33600.05333333334,145.0,147.0
stem,33594.827777777784,146.0,148.0
outperform,33502.45166666667,147.0,149.0
account,33464.666666666664,148.0,150.0
depend,33374.68376068376,149.0,151.0
determin,33100.36363636364,150.0,152.0
factor,33062.22716049383,151.0,153.0
work,33010.47747747748,152.0,154.0
belong,32935.46666666667,153.0,155.0
captur,32876.15555555555,154.0,156.0
assumpt,32757.849382716046,155.0,157.0
issu,32560.74269005848,156.0,158.0
reason,32446.069333333337,157.0,159.0
idea,32417.524603174606,158.0,160.0
evid,32375.218888888896,159.0,161.0
subgraph,32372.492307692315,160.0,162.0
standard,32305.137777777774,161.0,163.0
shown,32247.850574712644,162.0,164.0
significantli,32226.948333333334,163.0,165.0
confer,32210.811111111114,164.0,166.0
global,32153.282051282054,165.0,167.0
occurr,32143.529523809524,166.0,168.0
neighbor,32060.02857142857,167.0,169.0
requir,32046.083333333332,168.0,170.0
includ,31857.222222222223,169.0,171.0
retain,31800.91777777778,170.0,172.0
recent,31762.555555555555,171.0,173.0
cooccur,31668.755555555555,172.0,174.0
paper,31394.82926829268,173.0,175.0
highest,31392.157264957266,174.0,176.0
obtain,31320.93666666667,175.0,177.0
affect,31277.9875,176.0,178.0
limit,31194.402867383513,177.0,179.0
slide,31136.786666666667,178.0,180.0
lack,30981.356725146197,179.0,181.0
sampl,30841.92222222222,180.0,182.0
combin,30821.34814814815,181.0,183.0
extend,30796.565333333336,182.0,184.0
type,30764.203888888893,183.0,185.0
recal,30731.380317460316,184.0,186.0
journal,30714.484848484844,185.0,187.0
individu,30705.317901234568,186.0,188.0
stopword,30591.6,187.0,189.0
