Name,IF,IFDenseRank,IFMinRank
emiss,31543.725140712944,1.0,1.0
fig,30536.39726720648,2.0,2.0
ingan,30027.58284023669,3.0,3.0
layer,29967.732793522264,4.0,4.0
mqw,29726.777546777546,5.0,5.0
quantum,28974.347222222223,6.0,6.0
sqw,28573.542857142857,7.0,7.0
energi,28239.672064777325,8.0,8.0
mev,28064.333333333332,9.0,9.0
ld,27719.58394970414,10.0,10.0
peak,25314.1978021978,11.0,11.0
laser,24965.876479289942,12.0,12.0
blue,24948.47142857143,13.0,13.0
wavelength,24878.901098901097,14.0,14.0
spectra,24724.88107287449,15.0,15.0
due,24605.423076923078,16.0,16.0
threshold,24570.098981900454,17.0,17.0
led,24499.582840236686,18.0,18.0
green,24301.876923076925,19.0,19.0
structur,24226.37837837838,20.0,20.0
oper,24069.31176035503,21.0,21.0
gan,24015.883575883574,22.0,22.0
local,23624.172607879926,23.0,23.0
current,23485.817677514795,24.0,24.0
separ,23204.372141372147,25.0,25.0
carrier,23092.96153846154,26.0,26.0
measur,22593.283119658117,27.0,27.0
temperatur,22592.892411642413,28.0,28.0
result,22563.82409502262,29.0,29.0
state,22237.57894736842,30.0,30.0
estim,22112.869871794872,31.0,31.0
output,21561.136312217193,32.0,32.0
power,21561.136312217193,32.0,32.0
rt,21320.77034023669,33.0,34.0
observ,21156.964285714283,34.0,35.0
typic,20925.179900744417,35.0,36.0
electron,20823.891758241756,36.0,37.0
show,20698.61842105263,37.0,38.0
nm,20566.10769230769,38.0,39.0
mw,20445.220552884613,39.0,40.0
mode,20284.646634615387,40.0,41.0
increas,20225.705465587045,41.0,42.0
dot,20178.24358974359,42.0,43.0
shift,20035.692307692305,43.0,44.0
shown,19911.231900452487,44.0,45.0
absorpt,19828.523076923077,45.0,46.0
ma,19683.2443438914,46.0,47.0
densiti,19674.3006993007,47.0,48.0
high,19643.145833333332,48.0,49.0
level,19503.2850678733,49.0,50.0
transit,19359.279120879117,50.0,51.0
lifetim,19077.493990384613,51.0,52.0
valu,19075.513925729443,52.0,53.0
origin,19075.425101214576,53.0,54.0
larg,19074.45252403846,54.0,55.0
effect,18833.94986263736,55.0,56.0
higher,18790.46323529412,56.0,57.0
recombin,18637.96153846154,57.0,58.0
exciton,18600.615384615387,58.0,59.0
caus,18595.534502262442,59.0,60.0
voltag,18454.654447115383,60.0,61.0
pc,18291.59817813765,61.0,62.0
subband,18176.30968169761,62.0,63.0
stoke,18124.115384615387,63.0,64.0
kacm,18001.712740384613,64.0,65.0
qw,17957.811538461538,65.0,66.0
cw,17602.150887573967,66.0,67.0
growth,17338.02024291498,67.0,68.0
activ,17301.0,68.0,69.0
nakamura,17046.282451923078,69.0,70.0
region,16985.855263157893,70.0,71.0
function,16980.064903846156,71.0,72.0
el,16971.336813186812,72.0,73.0
time,16792.605459057075,73.0,74.0
vol,16678.08205128205,74.0,75.0
facet,16554.667493796525,75.0,76.0
ofth,16544.076923076922,76.0,77.0
stimul,16468.18482905983,77.0,78.0
differ,16343.384615384615,78.0,79.0
ns,16290.535953177257,79.0,80.0
intens,16282.30153846154,80.0,81.0
nfp,16241.565088757397,81.0,82.0
prole,16070.243818681318,82.0,83.0
