,Words,Old_WScore,Position_Weight,SCScore
103,journal,14140.207692307691,1.004743617058094,14207.283422721912
5,quantum,28974.347222222223,0.2961148121230201,8579.733384095483
2,ingan,30027.58284023669,0.23962604213434008,7195.390830866944
104,select,14140.207692307691,0.5047350630261745,7137.058620780121
105,topic,14140.207692307691,0.33805988143693666,4780.236935955198
36,electron,20823.89175824176,0.2067519096828235,4305.379388044893
17,led,24499.58284023669,0.16849716978239318,4128.110369429168
9,ld,27719.58394970414,0.14819438844953858,4107.886791502051
85,bluegreen,15810.816568047338,0.19620060433845923,3102.0917657354116
74,vol,16678.08205128205,0.1803381164922782,3007.6939038318765
0,emiss,31543.725140712944,0.09156638098447008,2888.3447539039284
6,sqw,28573.542857142857,0.0991526215594105,2833.1416815258826
3,layer,29967.732793522264,0.07089278840123797,2124.4961397960137
4,mqw,29726.777546777543,0.06979228851559835,2074.699835183709
7,energi,28239.672064777325,0.05876832551924565,1659.5982404595818
11,laser,24965.876479289946,0.06632742755246922,1655.922363463999
107,diod,14093.113905325445,0.1051424892457956,1481.785077230453
23,current,23485.817677514795,0.06289905979757317,1477.235850492904
12,blue,24948.47142857143,0.05389804528271219,1344.6738427915943
139,semiconductor,11859.655695266272,0.10974317475333001,1301.516267479932
8,mev,28064.33333333333,0.044417257664074686,1246.5407248371464
208,ganbas,9262.211538461535,0.12765631469999184,1182.3797909717414
32,power,21561.136312217197,0.05367345139831812,1157.2606019463017
16,threshold,24570.098981900454,0.04459376567214115,1095.6732365401826
39,mw,20445.220552884613,0.05085411976269241,1039.7236945710545
333,april,6858.998197115385,0.147550016544038,1012.0452974599018
18,green,24301.876923076925,0.037650229401380395,914.9712410379585
20,oper,24069.31176035503,0.037875415900243556,911.6351933560702
1,fig,30536.39726720648,0.029201835099226733,891.7188375214415
29,state,22237.57894736842,0.03908301584268187,869.1116503028887
14,spectra,24724.88107287449,0.031050710073177334,767.7251137876156
22,local,23624.17260787993,0.03203764017661744,756.8627414815593
27,temperatur,22592.892411642413,0.03310826333276734,748.011431413538
10,peak,25314.1978021978,0.028701410756893874,726.5531891021392
205,highpow,9349.129807692309,0.07747373771602847,724.3120305942576
46,ma,19683.2443438914,0.036593500807610105,720.278817794577
45,absorpt,19828.52307692308,0.0347896868541436,689.8281086263139
76,ofth,16544.076923076922,0.04126590395494228,682.7062893308693
38,nm,20566.10769230769,0.032502956156113996,668.4592966249957
13,wavelength,24878.901098901097,0.026847487271264285,667.9359805757903
15,due,24605.42307692308,0.026016461541651523,640.1460431968343
51,lifetim,19077.493990384613,0.03222245044142264,614.7236046517065
72,el,16971.336813186812,0.03620233178163864,614.4019660889268
21,gan,24015.88357588357,0.025534784684111658,613.2404161088805
231,singlequantumwel,8640.923076923078,0.0670797191243288,579.630692974931
152,room,11261.884615384615,0.050702136430440546,571.0016102331102
26,measur,22593.28311965812,0.025180257412474687,568.9046847459107
43,shift,20035.692307692305,0.028292155082990596,566.8529139643124
33,rt,21320.77034023669,0.026107549792539556,556.6330732730299
30,estim,22112.869871794872,0.023521151214129468,520.1201560328549
53,origin,19075.425101214576,0.02561553174270589,488.62715718577067
239,lightemit,8370.275147928995,0.05555555555555555,465.01528599605524
63,stoke,18124.115384615387,0.025423040761246858,460.7701241846182
19,structur,24226.37837837838,0.017094202913696472,414.13062786398893
98,optic,14380.11279585799,0.028683198163537166,412.46762493761116
25,carrier,23092.96153846154,0.01755994939013622,405.5112358837469
224,bluishpurpl,8858.247781065089,0.04499748617395676,398.5988820539595
61,pc,18291.59817813765,0.021200361122520425,387.78848688455486
34,observ,21156.964285714283,0.01818010839265364,384.63590397378755
41,increas,20225.705465587045,0.018988976572005,384.06544723830586
77,stimul,16468.18482905983,0.02315912888593795,381.38881497364457
183,multiquantumwel,10270.9765625,0.03661690175299067,376.09133969633234
229,fabric,8750.787259615385,0.04296875,376.01039006159857
83,deep,16015.120445344126,0.023304340738898373,373.2218238327974
66,cw,17602.150887573967,0.01868259213875863,328.85380579743264
92,spontan,14748.01282051282,0.022234922551951537,327.9209228592909
124,ptype,12908.916420118345,0.024336111374313518,314.15282772170457
54,larg,19074.45252403846,0.015571423104571451,297.0163707398637
47,densiti,19674.3006993007,0.015042282968162384,295.9463983195962
37,show,20698.61842105263,0.014090045370548879,291.6444726603103
57,recombin,18637.96153846154,0.015184695385602997,283.0117685701231
44,shown,19911.231900452487,0.013751110840721083,273.80155683842366
346,continuouswaveoper,6710.920673076923,0.04,268.4368269230769
24,separ,23204.372141372147,0.010777869150534811,250.09368666002425
185,photocurrentspectra,10244.46321070234,0.024390243902439025,249.86495635859367
256,achiev,7887.597956730769,0.030708052579255497,242.21277277931668
42,dot,20178.24358974359,0.01151718761324164,232.3966171287674
141,energydiffer,11735.833333333332,0.019761554793401928,231.91831346289945
345,mqwstructur,6710.920673076923,0.034482758620689655,231.41105769230768
186,weremeasur,10244.46321070234,0.02127659574468085,217.96730235536896
79,ns,16290.535953177256,0.013002811486990767,211.8227680212093
68,activ,17301.0,0.012115084920315822,209.60308420638404
40,mode,20284.646634615387,0.010188383477593446,206.6677586209369
31,output,21561.136312217197,0.009123276323328738,196.70820442131466
70,region,16985.855263157893,0.011515953779675668,195.60832411878698
84,light,15896.508875739646,0.012163825957015182,193.36236728864412
343,temperaturewith,6710.920673076923,0.02857142857142857,191.74059065934065
62,subband,18176.30968169761,0.009984670140478715,181.4844565429403
163,ev,10962.81334841629,0.0163678135026334,179.4372843510578
111,al,13746.044178794178,0.01272108982867782,174.86466278741457
344,voltageof,6710.920673076923,0.02564102564102564,172.07488905325442
153,dotlik,11195.161803713529,0.015234633123892135,170.55418284218615
154,equival,11195.161803713529,0.014959349593495937,167.47233917750322
100,carrierlifetim,14236.85256410256,0.011698062265052234,166.5435877532403
134,yellow,12324.78448275862,0.013401970031064784,165.1763922772633
126,vari,12834.482517482516,0.012787291071158249,164.11826369874083
28,result,22563.82409502262,0.007131715886877211,160.91878276717563
35,typic,20925.179900744417,0.007640447889677981,159.8777466137748
58,exciton,18600.615384615387,0.0082416010235624,153.2988507927367
127,characterist,12774.30876068376,0.011930991156091583,152.41016484890116
175,algan,10573.21893491124,0.014103129045173302,149.11547106192302
86,forward,15779.067307692309,0.00922162179059012,145.50859091980357
413,mthick,5679.182432432433,0.024402818935301447,138.5880605991935
187,whichi,10226.547692307691,0.013513513513513514,138.19659043659044
50,transit,19359.27912087912,0.0068569625563288114,132.7458520493863
55,effect,18833.94986263736,0.006862063625036201,129.23976226815938
49,level,19503.2850678733,0.005844917897639308,113.99509995597413
160,neareld,11036.068376068377,0.010275952838552996,113.4061181555248
