,Words,Old_WScore,Position_Weight,SCScore
1,keyword,87553.03160493828,0.374990058145424,32831.51641234395
27,semant,55569.600000000006,0.5676720198080077,31545.30707192307
18,connect,61521.68000000001,0.4072773436889915,25056.386409684157
0,extract,89099.28666666667,0.1568724717988676,13977.225334915885
3,method,83451.12000000001,0.13322668327621506,11117.915933285418
216,awar,28634.666666666664,0.2652456952574272,7595.2220684646745
4,graph,81416.08563685638,0.08772224987647147,7142.002208200515
2,text,84966.74796747968,0.07254395101338476,6163.823602319455
7,word,75560.34716049384,0.0777174285853418,5872.355884329313
9,accept,70765.98320987655,0.08165638691306949,5778.494505269458
10,manuscript,70654.3288888889,0.07394255297722889,5224.36145693722
76,inform,41877.32,0.12383425693179725,5185.846804495091
5,document,79949.39837398374,0.057364358381340956,4586.245940697801
12,score,68067.125,0.0475287013874362,3235.1420584262933
14,construct,64424.51219512196,0.04809468701847541,3098.476750342343
550,duari,15670.0,0.1813186813186813,2841.263736263736
11,base,68969.37666666668,0.037374952806294576,2577.7271979962215
6,algorithm,76363.77,0.032975828019179795,2518.1585464162017
617,vasudha,13875.185185185186,0.1746952648851383,2423.929151256273
20,propos,60235.63000000001,0.0397003101956951,2391.373195833118
40,scake,49379.14666666667,0.047756195064881435,2358.1601603507233
8,candid,71909.1056910569,0.02950665887294533,2121.797451484588
23,term,57535.78970189702,0.036723343018460856,2112.906541060792
22,approach,57700.306172839504,0.030018075086207522,1732.0521231934597
19,node,61066.548888888894,0.026154232030070806,1597.1486889156627
25,result,56438.46617283951,0.0274597231246101,1549.784654683846
24,automat,57000.38722222222,0.02567646988191026,1463.5687257686113
39,index,49573.11666666667,0.028485180536337067,1412.0991779989001
28,languag,53998.886666666665,0.025816109226947114,1394.041156320205
38,graphbas,50038.157309941525,0.026833813942210787,1342.7146032660455
36,import,50571.560000000005,0.026359871933768146,1333.059845090872
29,al,52624.35327635327,0.024452160076097754,1286.7791102145095
15,set,63950.365853658535,0.020110308736328398,1286.0616011182265
242,scienc,27393.570370370373,0.046577667485579614,1275.9286119539372
13,dataset,66148.34200542007,0.01850034375771439,1223.7670661031298
1000,date,6583.455218855218,0.16984126984126985,1118.1423943135053
16,number,63764.86504065042,0.017063665238256726,1088.062311016278
46,present,47536.53333333333,0.022807568065550992,1084.1927196003335
93,nlp,38993.35777777778,0.02700639913019403,1053.0701835731224
17,perform,63510.58222222223,0.016528371447517527,1049.7264938169922
100,task,37822.402777777774,0.02727078411865939,1031.446581001761
126,parameterless,34972.88333333333,0.028779888759928235,1006.5156919472814
73,process,41962.22222222222,0.02394390497739916,1004.7394615293962
31,comput,52371.444444444445,0.018177273717733138,951.9700806597211
390,swagata,20467.943434343437,0.045208333333333336,925.3216094276096
77,tool,41186.48000000001,0.022284556628382513,917.8224458837441
54,section,44339.18444444445,0.018631581894047646,826.1091460919503
51,relev,45454.17321937322,0.017980095711742108,817.2703849824353
549,octob,15670.0,0.050505050505050504,791.4141414141415
26,evalu,56174.22764227641,0.01367758838713342,768.327963656189
70,appli,42243.21111111112,0.016975803156711055,717.1124365296117
50,edg,45561.19777777778,0.015431956684202488,703.0984305870494
45,identifi,47967.50997150997,0.014249175660821761,683.497475596265
32,cag,52129.89611111111,0.013009374549466081,678.1773437341998
190,review,30250.338461538464,0.02193690869745778,663.5989128979647
99,relat,37923.61052631579,0.017489769922081462,663.2752227198898
551,articl,15634.60606060606,0.04206719091079861,657.7039579666441
186,journal,30714.484848484844,0.020348863359441152,625.0048553374437
78,concept,41156.30510510511,0.014595660916259301,600.7034738802257
47,properti,46970.43950617284,0.012472926684253894,585.8588482876766
34,show,51535.24222222223,0.011015924370538194,567.7083307373667
321,earli,23029.87205387205,0.02409232682070362,554.8432041608744
21,tabl,58403.27804878049,0.009458816054574336,552.4258640475739
1003,in,6583.455218855218,0.08333333333333333,548.6212682379348
174,paper,31394.82926829268,0.01734125644648431,544.4257854350548
177,affect,31277.9875,0.017398898380239888,544.2025260509134
44,cooccurr,48009.55555555556,0.011285866210490485,541.8294208251102
67,lake,42506.44,0.012569383372268567,534.2797401503315
284,form,24782.875,0.021441321787680503,531.3775976988625
35,weight,50823.577235772354,0.010388461279554348,527.9787642022609
114,analysi,35894.419444444444,0.014497272656901282,520.3711855472901
43,statist,48036.1945945946,0.010675845352307865,512.8269848052589
57,averag,44113.08888888889,0.011572590054156342,510.5026937336702
94,stateoftheart,38964.97000000001,0.012920860257533468,503.46093230898396
41,rank,49129.37499999999,0.01006862558810905,494.665282252805
157,issu,32560.74269005848,0.014804507536326153,482.04576054334746
81,relationship,40726.38888888889,0.01165927114255985,474.84001071289237
187,individu,30705.317901234568,0.014856549124200445,456.1750637738827
58,paramet,43906.91965811965,0.010376603050921633,455.6046764810154
109,design,36913.291291291294,0.01228282999582422,453.3996815172697
120,contextu,35461.20467836257,0.012636546507984153,448.10716214727387
131,lead,34733.73888888889,0.01286978053789846,447.0155967606691
